"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
"1",2013,1,1,724,725,-1,1020,1030,-10,"AS",11,"N594AS","EWR","SEA",338,2402,7,25,2013-01-01 07:00:00
"2",2013,1,1,1808,1815,-7,2111,2130,-19,"AS",7,"N553AS","EWR","SEA",336,2402,18,15,2013-01-01 18:00:00
"3",2013,1,2,722,725,-3,949,1030,-41,"AS",11,"N592AS","EWR","SEA",314,2402,7,25,2013-01-02 07:00:00
"4",2013,1,2,1818,1815,3,2131,2130,1,"AS",7,"N552AS","EWR","SEA",332,2402,18,15,2013-01-02 18:00:00
"5",2013,1,3,724,725,-1,1012,1030,-18,"AS",11,"N533AS","EWR","SEA",325,2402,7,25,2013-01-03 07:00:00
"6",2013,1,3,1817,1815,2,2121,2130,-9,"AS",7,"N552AS","EWR","SEA",327,2402,18,15,2013-01-03 18:00:00
"7",2013,1,4,725,725,0,1031,1030,1,"AS",11,"N579AS","EWR","SEA",345,2402,7,25,2013-01-04 07:00:00
"8",2013,1,4,1808,1815,-7,2101,2130,-29,"AS",7,"N553AS","EWR","SEA",338,2402,18,15,2013-01-04 18:00:00
"9",2013,1,5,725,725,0,1011,1030,-19,"AS",11,"N546AS","EWR","SEA",330,2402,7,25,2013-01-05 07:00:00
"10",2013,1,5,1803,1815,-12,2118,2130,-12,"AS",7,"N558AS","EWR","SEA",343,2402,18,15,2013-01-05 18:00:00
"11",2013,1,6,722,725,-3,1024,1030,-6,"AS",11,"N568AS","EWR","SEA",341,2402,7,25,2013-01-06 07:00:00
"12",2013,1,6,1817,1815,2,2146,2130,16,"AS",7,"N551AS","EWR","SEA",350,2402,18,15,2013-01-06 18:00:00
"13",2013,1,7,727,725,2,1100,1030,30,"AS",11,"N537AS","EWR","SEA",364,2402,7,25,2013-01-07 07:00:00
"14",2013,1,7,1826,1815,11,2138,2130,8,"AS",7,"N408AS","EWR","SEA",336,2402,18,15,2013-01-07 18:00:00
"15",2013,1,8,719,725,-6,1037,1030,7,"AS",11,"N553AS","EWR","SEA",347,2402,7,25,2013-01-08 07:00:00
"16",2013,1,8,1844,1815,29,2159,2130,29,"AS",7,"N407AS","EWR","SEA",346,2402,18,15,2013-01-08 18:00:00
"17",2013,1,9,740,725,15,1102,1030,32,"AS",11,"N563AS","EWR","SEA",358,2402,7,25,2013-01-09 07:00:00
"18",2013,1,9,1825,1815,10,2210,2130,40,"AS",7,"N403AS","EWR","SEA",359,2402,18,15,2013-01-09 18:00:00
